dataset,variant,model,number users,number items,number interactions,avg. user degree,avg. item degree,rmse_mean,sparsity_mean,Precision@10_mean,Recall@10_mean,NDCG@10_mean,MRR@10_mean,rmse_sd,sparsity_sd,Precision@10_sd,Recall@10_sd,NDCG@10_sd,MRR@10_sd
ml20m,kcore5_sizematch_kcore50_seed42,ItemKNN,55697,7100,2121615,38.0920875451,298.8190140845,,0.9946349172471676,0.04339370154340991,0.43393701543409907,0.2441427988017348,0.1860968853668861,,0.0,6.031044098438672e-05,0.0006031044098438675,0.00016312515337429075,0.00036836692700257
ml20m,kcore5_sizematch_kcore50_seed42,LightGCN,55697,7100,2121615,38.0920875451,298.8190140845,,0.9946349172471676,0.039888624852980004,0.3988862485298001,0.2151042983460918,0.15919317169992261,,0.0,0.00016759045027854482,0.0016759045027854174,0.0010520813459260095,0.0014862672889968372
ml20m,kcore5_sizematch_kcore50_seed42,MultiVAE,55697,7100,2121615,38.0920875451,298.8190140845,,0.9946349172471676,0.02913636254530616,0.2913636254530616,0.16038961560482137,0.12077145587037931,,0.0,0.0010190599630173134,0.010190599630173153,0.004927584206918786,0.003366554533779867
ml20m,kcore5_sizematch_kcore50_seed42,NeuMF,55697,7100,2121615,38.0920875451,298.8190140845,,0.9946349172471676,0.04405739180528551,0.4405739180528552,0.23841563853278624,0.17689160487731093,,0.0,0.0009208371106032831,0.009208371106032827,0.006139859173906585,0.005186864088022562
ml20m,kcore5_sizematch_kcore50_seed43,BPR,55697,7100,2185398,39.237265921,307.8025352113,,0.9944736245181739,0.03778949135873541,0.37789491358735416,0.20600292642778809,0.15393088159117377,,0.0,0.000833720943692081,0.008337209436920782,0.004427954246472028,0.0031412912526600925
ml20m,kcore5_sizematch_kcore50_seed43,ItemKNN,55697,7100,2185398,39.237265921,307.8025352113,,0.9944736245181739,0.044102831648256756,0.4410283164825675,0.24969476240708213,0.19123662137910327,,0.0,7.080440634027983e-05,0.0007080440634027717,0.0004951953444107798,0.0004863463762715488
ml20m,kcore5_sizematch_kcore50_seed43,LightGCN,55697,7100,2185398,39.237265921,307.8025352113,,0.9944736245181739,0.03947336859401048,0.3947336859401048,0.2127137717038878,0.15746245581231008,,0.0,0.00036796033296040477,0.003679603329603997,0.0019963078861701656,0.0014813703045491238
ml20m,kcore5_sizematch_kcore50_seed43,MultiVAE,55697,7100,2185398,39.237265921,307.8025352113,,0.9944736245181739,0.027838544477626265,0.2783854447762626,0.15345831270779567,0.11569641741087788,,0.0,0.0009671292093981923,0.009671292093981957,0.005724765019424088,0.00445689489940467
ml20m,kcore5_sizematch_kcore50_seed43,NeuMF,55697,7100,2185398,39.237265921,307.8025352113,,0.9944736245181739,0.04363268928627112,0.43632689286271126,0.23514445362053785,0.17399561230921648,,0.0,0.0005416207870203865,0.005416207870203845,0.0032018711269144705,0.0024977833956064425
ml20m,kcore5_sizematch_kcore50_seed44,BPR,55697,7100,2041792,36.6589223836,287.5763380282,,0.9948367714952661,0.037181983151266064,0.37181983151266057,0.20399925310882425,0.15305804635490614,,0.0,0.0010355325601766234,0.010355325601766186,0.0057455591487104675,0.004348936632442739
ml20m,kcore5_sizematch_kcore50_seed44,ItemKNN,55697,7100,2041792,36.6589223836,287.5763380282,,0.9948367714952661,0.04408611842184326,0.4408611842184327,0.25036087615436226,0.19202616107111906,,0.0,0.00011275308745331249,0.0011275308745331588,0.00016805662710153634,0.00035996091105093
ml20m,kcore5_sizematch_kcore50_seed44,LightGCN,55697,7100,2041792,36.6589223836,287.5763380282,,0.9948367714952661,0.0402867409356936,0.402867409356936,0.221083968149589,0.16564734172622553,,0.0,0.0002901103309789369,0.0029011033097893586,0.001443279637501536,0.001272371448309393
ml20m,kcore5_sizematch_kcore50_seed44,MultiVAE,55697,7100,2041792,36.6589223836,287.5763380282,,0.9948367714952661,0.03032531756618716,0.30325317566187165,0.16627923232024244,0.12467878798457087,,0.0,0.0010070411041480571,0.010070411041480497,0.0059972680484015745,0.004716279016446384
ml20m,kcore5_sizematch_kcore50_seed44,NeuMF,55697,7100,2041792,36.6589223836,287.5763380282,,0.9948367714952661,0.0444911129538162,0.44491112953816203,0.24331961184303555,0.18188446830423252,,0.0,0.0004855346703417626,0.004855346703417618,0.003974247576420091,0.0037221290009269267
online_retail,kcore10_sizematch_kcore50_seed42,BPR,1445,1337,48189,33.3487889273,36.0426327599,,0.9750570015502351,0.015340253748558248,0.1534025374855825,0.08524905059138248,0.0642740887204555,,0.0,0.00027968525151054454,0.0027968525151054508,0.006515329749008732,0.007875703384112653
online_retail,kcore10_sizematch_kcore50_seed42,ItemKNN,1445,1337,48189,33.3487889273,36.0426327599,,0.9750570015502351,0.02346020761245675,0.2346020761245675,0.13373026128705742,0.10292680470881165,,0.0,0.0004209524242420951,0.00420952424242091,0.0007041066631660034,0.0003244630120489348
online_retail,kcore10_sizematch_kcore50_seed42,LightGCN,1445,1337,48189,33.3487889273,36.0426327599,,0.9750570015502351,0.015063437139561708,0.15063437139561706,0.07774240588578467,0.055220061880961534,,0.0,0.00027968525151054644,0.0027968525151054404,0.0038912118310082304,0.005718972653017981
online_retail,kcore10_sizematch_kcore50_seed42,MultiVAE,1445,1337,48189,33.3487889273,36.0426327599,,0.9750570015502351,0.002329873125720877,0.023298731257208768,0.009539586044603464,0.005480859010270775,,0.0,0.000802091748591175,0.008020917485911744,0.0036407579256366447,0.0022055561827333393
online_retail,kcore10_sizematch_kcore50_seed42,NeuMF,1445,1337,48189,33.3487889273,36.0426327599,,0.9750570015502351,0.01737024221453287,0.17370242214532872,0.09836054033897211,0.07523763753867561,,0.0,0.0006228373702422134,0.006228373702422133,0.0023790083519271256,0.0012577912628818477
online_retail,kcore10_sizematch_kcore50_seed43,BPR,1445,1337,46699,32.3176470588,34.928197457,,0.9758282370539839,0.007646107646107646,0.07646107646107646,0.03383111864193446,0.021125612792279463,,0.0,0.0011267034787024453,0.011267034787024437,0.008045669312671264,0.007607682084827408
online_retail,kcore10_sizematch_kcore50_seed43,ItemKNN,1445,1337,46699,32.3176470588,34.928197457,,0.9758282370539839,0.019427119427119426,0.19427119427119424,0.11382201224726363,0.08931312264645598,,0.0,8.00208273305083e-05,0.000800208273305084,0.0011272890289286519,0.0012475248075060818
online_retail,kcore10_sizematch_kcore50_seed43,LightGCN,1445,1337,46699,32.3176470588,34.928197457,,0.9758282370539839,0.006213906213906214,0.06213906213906214,0.02314147853381454,0.011935286935286935,,0.0,0.0019420512411165343,0.019420512411165353,0.007327669752816115,0.0037801740160066555
online_retail,kcore10_sizematch_kcore50_seed43,MultiVAE,1445,1337,46699,32.3176470588,34.928197457,,0.9758282370539839,0.0033264033264033266,0.033264033264033266,0.01447168584983786,0.008854275520942189,,0.0,0.0019066966725152605,0.01906696672515261,0.007797415106307805,0.004365067456989307
online_retail,kcore10_sizematch_kcore50_seed43,NeuMF,1445,1337,46699,32.3176470588,34.928197457,,0.9758282370539839,0.009655809655809656,0.09655809655809655,0.04834434180612929,0.03386729220062553,,0.0,0.00134615867723109,0.013461586772310899,0.0055723744783781354,0.003133776132328887
online_retail,kcore10_sizematch_kcore50_seed44,BPR,1445,1337,47529,32.8920415225,35.5489902767,,0.9753986226458554,0.01771771771771772,0.17717717717717718,0.07362705716969309,0.042742651075984406,,0.0,0.0024268220678337364,0.02426822067833736,0.011448153067371656,0.007794977253598204
online_retail,kcore10_sizematch_kcore50_seed44,ItemKNN,1445,1337,47529,32.8920415225,35.5489902767,,0.9753986226458554,0.021159621159621157,0.2115962115962116,0.11883635270256272,0.09061103227769896,,0.0,0.0001442595980226001,0.0014425959802260128,0.0010903309638403164,0.0016516103812534977
online_retail,kcore10_sizematch_kcore50_seed44,LightGCN,1445,1337,47529,32.8920415225,35.5489902767,,0.9753986226458554,0.013143913143913145,0.13143913143913144,0.049985934785245933,0.026182867849534514,,0.0,0.0010098171861582061,0.010098171861582066,0.0027197274441675178,0.0020499469794410213
